index,img_name,condition,img_1,img_2,img_3,txt_1,txt_2,txt_3,trialType
1,Corn,YY,stimuli/YY_corn_img1.png,stimuli/YY_corn_img2.png,stimuli/corn_img3.png,MAÏS,MAÏS,MAÏS,main
2,Canoe,YN,stimuli/YN_canoe_img1.png,stimuli/YN_canoe_img2.png,stimuli/canoe_img3.png,OREILLER,OREILLER,CANOT,main
3,Fishbowl,NY,stimuli/NY_fishbowl_img1.png,stimuli/NY_fishbowl_img2.png,stimuli/fishbowl_img3.png,AQUARIUM,AQUARIUM,AQUARIUM,main
4,Scissors,NN,stimuli/NN_scissors_img1.png,stimuli/NN_scissors_img2.png,stimuli/scissors_img3.png,CAFÉ,CAFÉ,CISEAUX,main
5,Dress,YN,stimuli/YN_dress_img1.png,stimuli/YN_dress_img2.png,stimuli/dress_img3.png,SAPIN DE NOËL,SAPIN DE NOËL,ROBE,main
6,Key,YY,stimuli/YY_key_img1.png,stimuli/YY_key_img2.png,stimuli/key_img3.png,CLÉ,CLÉ,CLÉ,main
7,Ring,NN,stimuli/NN_ring_img1.png,stimuli/NN_ring_img2.png,stimuli/ring_img3.png,DÉJEUNER,DÉJEUNER,BAGUE,main
8,Football,NY,stimuli/NY_football_img1.png,stimuli/NY_football_img2.png,stimuli/football_img3.png,BALLON DE FOOTBALL,BALLON DE FOOTBALL,BALLON DE FOOTBALL,main
9,Crown,YY,stimuli/YY_crown_img1.png,stimuli/YY_crown_img2.png,stimuli/crown_img3.png,COURONNE,COURONNE,COURONNE,main
10,Washing Machine,YN,stimuli/YN_washing machine_img1.png,stimuli/YN_washing machine_img2.png,stimuli/washing machine_img3.png,COLIS,COLIS,LAVEUSE,main
11,Tent,YY,stimuli/YY_tent_img1.png,stimuli/YY_tent_img2.png,stimuli/tent_img3.png,TENTE,TENTE,TENTE,main
12,Sailboat,YN,stimuli/YN_sailboat_img1.png,stimuli/YN_sailboat_img2.png,stimuli/sailboat_img3.png,TERRAIN DE GOLF,TERRAIN DE GOLF,VOILIER,main
13,Backpack,NY,stimuli/NY_backpack_img1.png,stimuli/NY_backpack_img2.png,stimuli/backpack_img3.png,SAC À DOS,SAC À DOS,SAC À DOS,main
14,Cake,YY,stimuli/YY_cake_img1.png,stimuli/YY_cake_img2.png,stimuli/cake_img3.png,GÂTEAU,GÂTEAU,GÂTEAU,main
